START Speed JOB
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_direct=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
JOBNUM=1
JobType=Speed
LgK=21
OutputFileName=HLL20170921_162117PST.txt
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
Sketch=HLL
TimeZone=PST
TimeZoneOffset=-28800000
Trials_UPPO=16
Trials_lgMaxBpU=19
Trials_lgMaxT=20
Trials_lgMaxU=22
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0

InU	Trials	nS/u
57549	168	36.02531755547447
60097	161	35.5324699189726
62757	153	35.51185249131389
65536	147	36.10350472586496
68438	140	34.72057117390922
71468	134	34.7884129751422
74632	127	34.968180671059585
77936	122	35.38559791388309
81386	116	33.36485803709354
84990	111	34.3599806654519
88752	106	34.52536344650006
92682	101	34.85129499549294
96785	97	33.62270842642503
101070	92	41.04662599317736
105545	88	39.88746301663658
110218	84	39.25648174310825
115098	80	38.43939555856749
120194	76	40.0591549144672
125515	73	47.92849471137815
131072	70	37.2938232421875
136875	67	36.45091114291555
142935	64	37.04362636425649
149263	61	36.55850642330848
155872	58	36.10204515729971
162773	55	36.29295332093831
169979	53	36.33551503088007
177505	50	36.31877637249656
185364	48	35.950684306733415
193571	46	35.44724809434041
202141	44	47.134102725775136
211090	42	44.32370406213554
220436	40	42.64290258850641
230195	38	41.081785237001576
240387	36	51.19359951060396
251030	35	39.49636378122138
262144	33	39.29446538289388
273750	32	37.989993378995436
285870	30	36.698051095486285
298527	29	36.59733602332279
311744	27	35.94816532748618
325546	26	36.76447272723835
339959	25	35.54882194617587
355010	24	35.084426377660726
370728	23	34.19000652535129
387141	22	33.129215547729736
404281	21	32.45486702377331
422180	20	32.883308778246246
440872	19	31.536095809166707
460391	18	30.531754892399434
480774	17	30.05139506663153
502060	16	29.31505310620244
524288	16	29.26316475868225
547500	16	29.817182648401825
571740	16	29.861184170252216
597053	16	29.4439553523724
623487	16	27.602873736741905
651091	16	28.130540508162447
679917	16	28.30081410672185
710020	16	26.863226211937693
741455	16	26.65869051392195
774282	16	26.326608312604446
808563	16	25.931208978150128
844361	16	25.89983727339373
881744	16	25.230291686135658
920782	16	25.853405447760707
961548	16	26.065791762345718
1004120	16	26.146414024220217
1048576	16	24.98723530769348
1095000	16	27.345588984018264
1143480	16	25.275358335956902
1194106	16	25.009243787821184
1246974	16	24.6798800035125
1302182	16	25.252275507571138
1359835	16	24.89268822136509
1420040	16	24.64491524006366
1482910	16	24.996738675981685
1548564	16	24.608189143296627
1617125	16	24.891574476308264
1688722	16	25.236778833342612
1763488	16	24.151177169904184
1841564	16	26.047172708903958
1923097	16	24.93295566994281
2008240	16	25.015993326245866
2097152	16	24.2648204267025
2190001	16	24.585979755260386
2286960	16	24.630772564889632
2388213	16	24.44052660922623
2493948	16	24.43237885272668
2604365	16	24.584742681997337
2719670	16	25.357740851831284
2840080	16	24.556291196022645
2965821	16	24.36205758877559
3097129	16	24.278349259104157
3234251	16	24.29963475314687
3377443	16	24.24897318770443
3526975	16	25.062675203254912
3683128	16	24.458906125445544
3846194	16	24.25205209357614
4016479	16	23.90048002865196
4194304	16	23.56791141629219
Total Job Time        : 0:02:11.657
END Speed JOB


