START Speed JOB
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_direct=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
JOBNUM=1
JobType=Speed
LgK=12
OutputFileName=HLL20170921_164208PST.txt
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
Sketch=HLL
TimeZone=PST
TimeZoneOffset=-28800000
Trials_UPPO=16
Trials_lgMaxBpU=20
Trials_lgMaxT=23
Trials_lgMaxU=20
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0

InU	Trials	nS/u
95	1011662	27.276619661507866
99	963308	33.76995056134891
103	919047	33.051390866146406
108	868743	32.43909996226508
112	832024	31.99294790904025
117	789971	31.66057243668042
123	744423	30.99290987948903
128	710019	30.640371617696147
134	672427	30.27839566405446
140	638344	29.911085894573922
146	607314	29.458612290155465
152	578952	29.127235720750953
159	548811	28.66683525296058
166	521439	28.798683945449685
173	496480	28.741745867788104
181	470531	28.138936178498604
189	446975	28.401374282323115
197	425504	35.053405475987255
206	403519	33.992842603121474
215	383540	33.26967388259497
225	363383	32.75093094002052
235	345095	31.955167522480775
245	328433	31.787056820273985
256	311743	31.005356262510304
267	296551	30.946661201085178
279	281466	30.53883415625085
292	266649	29.99821083609053
304	254196	29.764894031729437
318	240962	29.550205637999017
332	228944	29.092931351340567
347	217240	29.0892192966295
362	206593	28.669341310120156
378	196250	28.93125490513249
395	186261	37.005241603605626
412	177170	35.1614973085478
431	167934	34.66824849459558
450	159548	33.72192243086708
470	151518	32.888133226499136
490	144203	32.15276108071598
512	136875	31.373492950913242
535	129915	30.41797294492715
558	123581	30.109021221812874
583	117314	29.747819350165603
609	111390	29.094720512597334
636	105797	28.56400163348318
664	100521	27.962357577862566
693	95545	27.235246252285396
724	90707	26.866923885886674
756	86166	26.217680861980824
790	81780	25.919327773495336
825	77677	25.46060295528383
861	73835	25.73389792209428
899	70144	24.846532453435284
939	66610	24.740754657433524
981	63237	23.939046043268014
1024	60096	24.256594104380905
1069	57104	23.7685854257417
1117	54202	23.26725929599823
1166	51508	22.944452482926224
1218	48907	22.816571635257223
1272	46451	22.645282717610613
1328	44135	22.209603066167283
1387	41914	21.848284771931944
1448	39826	21.556946508749586
1512	37832	21.546606530290955
1579	35933	21.976110506981392
1649	34129	21.156981854651306
1722	32418	20.960965929296606
1798	30797	20.903515135154755
1878	29246	20.72346571046512
1961	27782	20.96832709067192
2048	26386	20.538541223772786
2139	25058	20.328044733320077
2233	23810	20.38479348281338
2332	22615	20.111692572629483
2435	21483	20.045306211749928
2543	20404	19.99276409682113
2656	19378	19.63885360696572
2774	18403	19.632984238447385
2896	17486	19.795925532849246
3025	16604	19.516283818894532
3158	15777	19.36295939572293
3298	14985	19.494858958412546
3444	14233	19.32352390483481
3597	13517	19.783360008213766
3756	12840	19.34816227576904
3922	12198	19.469169714499156
4096	11585	19.531195376564522
4277	11005	19.319393920144076
4467	10451	19.341864923085996
4664	9929	19.808947925640904
4871	9430	19.557751058975814
5087	8956	19.677698225068696
5312	8508	19.37885007059274
5547	8081	19.05044012303144
5793	7675	19.32546104447074
6049	7291	19.284068258991955
6317	6925	19.29019203810245
6597	6578	19.387552239233802
6889	6248	19.148151690729975
7194	5935	19.131959235897867
7512	5637	19.087600575877115
7845	5354	19.207109734672887
8192	5086	18.796644300070046
8555	4831	18.791821352479467
8933	4589	18.68233751091047
9329	4359	18.39676252205476
9742	4140	18.263795389652113
10173	3933	18.042142258530767
10624	3735	17.953506596667786
11094	3548	18.059911900742044
11585	3370	17.66396166126006
12098	3201	18.26563237155853
12634	3040	17.717559551086048
13193	2888	17.28008179440408
13777	2743	17.20033664184447
14387	2606	16.984367949427323
15024	2475	16.924340234076702
15689	2351	16.878850440420802
16384	2233	16.51896454964419
17109	2121	16.755017810340426
17867	2014	16.295958736040877
18658	1913	16.205451083993125
19484	1817	16.139889247144303
20347	1726	15.730621999160478
21247	1640	16.044125110345554
22188	1557	15.549419226996866
23170	1479	15.574824525080349
24196	1405	15.356913086425264
25268	1335	15.246317143146817
26386	1268	15.496095069773416
27554	1204	15.054194548090024
28774	1144	14.819847651653287
30048	1086	14.916831718728234
31379	1032	14.62650488859508
32768	980	14.63415564712213
34219	931	14.30436200590693
35734	884	14.16160958788757
37316	840	14.223522655926997
38968	798	14.379639112665686
40693	758	14.256499711106652
42495	720	14.203675334353047
44376	684	13.90071048230064
46341	649	13.576918760834666
48393	617	13.746550603160276
50535	586	13.508890570553774
52773	556	13.673585093042043
55109	528	13.204267321182213
57549	502	13.424148269560552
60097	477	13.164009519341368
62757	453	12.894942829522098
65536	430	13.05992449383403
68438	408	12.902710389366314
71468	388	12.746529482735836
74632	368	13.042304275878868
77936	350	13.346528983488284
81386	332	12.6461516204646
84990	316	12.847577674812069
88752	300	12.655416967129385
92682	285	12.871197230901203
96785	270	12.580229259584527
101070	257	12.354647374262703
105545	244	12.56506606225764
110218	232	12.93258775242294
115098	220	12.302238092755738
120194	209	12.314513267346967
125515	199	11.912721637106372
131072	189	12.045559151462777
136875	179	12.554998494936347
142935	170	12.046942192975418
149263	161	12.123142056604989
155872	153	12.348976971887778
162773	146	12.451878189215352
169979	138	11.949338882526922
177505	131	12.383891648251602
185364	125	11.671625385727538
193571	118	11.928512763109127
202141	113	12.056036063147545
211090	107	11.455740276437872
220436	101	11.980856660490485
230195	96	11.895088720070666
240387	91	11.894587697118615
251030	87	11.708132517018386
262144	82	11.397577471849395
273750	78	11.289369254185694
285870	74	11.44195159583972
298527	71	11.579414832932988
311744	67	11.385566170635226
325546	64	11.164633895824245
339959	60	11.241547314038849
355010	57	11.104279246890504
370728	54	11.706719741417684
387141	52	11.828685752139993
404281	49	11.2965062843489
422180	47	11.39397952673207
440872	44	11.88439573885803
460391	42	11.380442824427393
480774	40	11.145073152874321
502060	38	11.303256215969157
524288	36	11.585337162017822
547500	34	11.335723824872412
571740	32	10.986553929670826
597053	31	10.967334936440233
623487	29	11.18214797830865
651091	28	11.071235982593612
679917	26	11.042940648524858
710020	25	11.110310639136927
741455	24	10.920922207011891
774282	22	11.07665735363977
808563	21	10.940855154968341
844361	20	11.470361669949227
881744	19	11.21990038163601
920782	18	10.811172701271552
961548	17	11.140980940292604
1004120	16	10.922636985619247
1048576	16	10.837717294692993
Total Job Time        : 0:06:26.177
END Speed JOB


