START Speed JOB
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_direct=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
JOBNUM=1
JobType=Speed
LgK=12
OutputFileName=HLL20170921_164208PST.txt
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
Sketch=HLL
TimeZone=PST
TimeZoneOffset=-28800000
Trials_UPPO=16
Trials_lgMaxBpU=20
Trials_lgMaxT=23
Trials_lgMaxU=20
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0

InU	Trials	nS/u
1	8388608	41.07367289066315
2	8388608	24.869615852832794
3	8388608	19.363834023558933
4	8388608	16.62248730659485
5	8388608	15.630581117237982
6	8388608	15.042943755502678
7	8388608	14.448932631079886
8	8388608	27.884829431772232
9	8388608	22.54454170333981
10	8388608	23.25859662301349
11	8388608	21.317017197627816
12	8388608	20.6363089680598
13	8388608	19.900691289140383
14	8388608	18.514440195897507
15	8388608	19.226535741486348
16	8388608	19.00476748496294
17	7805923	20.139951185343183
18	7293672	20.47328830618129
19	6840100	18.955350745116576
20	6435899	21.26600034429049
21	6073610	20.967269061998575
22	5747188	19.613734799131716
23	5451682	20.748370255671777
24	5183003	20.95673321528506
25	4937744	29.81723785599573
26	4713044	28.64176659337731
27	4506484	28.484243263375337
28	4316007	28.454108897083554
29	4139851	27.457031982629758
31	3824638	27.356136298219198
32	3683127	26.766088027917583
33	3550970	26.130604458825655
35	3311323	26.561442972663272
36	3202382	26.352974277340678
38	3003235	25.75211490802334
40	2825765	25.834279212887687
41	2744110	25.201939959910664
43	2593215	25.531224879397005
45	2456928	25.109455918572944
47	2333276	25.642674241278147
49	2220621	32.30047479180644
52	2069323	31.58501635001321
54	1978630	31.21551850036524
56	1894999	30.776613187808966
59	1781129	30.3788657148744
61	1711997	30.074591060694317
64	1617125	29.5505891628662
67	1531505	29.00018739736412
70	1453879	28.51964198631977
73	1383204	28.452640549904263
76	1318609	28.14747608235106
79	1259360	27.823255241970603
83	1187619	27.806284776920315
87	1123060	27.412852231923512
91	1064683	27.11623750816042
