START Speed JOB
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_direct=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
JOBNUM=1
JobType=Speed
LgK=12
OutputFileName=HLL20170921_163148PST.txt
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
Sketch=HLL
TimeZone=PST
TimeZoneOffset=-28800000
Trials_UPPO=16
Trials_lgMaxBpU=20
Trials_lgMaxT=23
Trials_lgMaxU=20
Trials_lgMinBpU=1
Trials_lgMinT=4
Trials_lgMinU=0

InU	Trials	nS/u
790	21236	26.7261368919745
825	20336	25.650666857401863
861	19485	25.673550010326945
899	18662	25.13024807926124
939	17867	24.205506453941236
981	17102	24.003342599556436
1024	16384	23.811063587665558
1069	15694	24.130613452341503
1117	15019	23.1430522233758
1166	14388	22.673248468921344
1218	13774	22.622658632205557
1272	13189	22.83040517374173
1328	12633	26.002936943690198
1387	12096	22.829494302728374
1448	11586	21.483969984731058
1512	11096	21.118506883647548
1579	10625	21.090991260291336
1649	10174	20.935191524359134
1722	9742	21.036290356231444
1798	9331	20.66502647829444
1878	8933	20.588178568009543
1961	8555	20.153594270030684
2048	8192	20.24489116668701
2139	7843	20.268841464893995
2233	7513	19.329574073397495
2332	7194	19.500699971054612
2435	6890	20.021582271124707
2543	6597	19.06293462316282
2656	6316	19.665777343064434
2774	6048	19.09629101530479
2896	5793	19.65966104547967
3025	5546	19.15544807813244
3158	5312	19.59498073834284
3298	5087	19.236202925375
3444	4871	18.873363438740395
3597	4664	19.03600073388776
3756	4466	18.97950572709574
3922	4277	19.049892294171695
4096	4096	19.068057775497437
4277	3922	18.716501949340135
4467	3755	19.219455411589163
4664	3597	18.635917593325104
4871	3444	18.56142524757792
5087	3298	18.58705885690861
5312	3158	18.81450425673564
5547	3024	18.693086817985417
5793	2896	18.58748830508906
6049	2773	18.9724183025785
6317	2655	18.357684686078613
6597	2543	18.537947187114412
6889	2435	18.712757683215496
7194	2332	18.646921677155188
7512	2233	18.51216080841785
7845	2138	19.050121954782245
8192	2048	18.5620818734169
8555	1961	18.628214650917915
8933	1878	18.05794139951102
9329	1798	17.96382749689958
9742	1722	17.993821727157666
10173	1649	17.804801852154228
10624	1579	17.896197003021566
11094	1512	17.632689401201656
11585	1448	17.235861110647413
12098	1386	17.679306765312738
12634	1327	17.205306395023353
13193	1271	17.17632088351458
13777	1217	17.099107398520466
14387	1166	16.553655738617653
15024	1116	16.602518646390376
15689	1069	16.64087497982442
16384	1024	16.18740075826645
17109	980	16.199403882191135
17867	939	16.073601340111384
18658	899	15.902260655501365
19484	861	15.732405707199307
20347	824	15.518514215258463
21247	789	15.55516505334713
22188	756	15.387718693931538
23170	724	15.362866168149424
24196	693	15.104019435313878
25268	663	15.16877540339207
26386	635	15.635039578970238
27554	608	14.945573321573312
28774	583	15.332496186940253
30048	558	14.799937364255419
31379	534	14.276230447305283
32768	512	14.530433297157288
34219	490	14.607117301463374
35734	469	14.276456589992174
37316	449	14.353124080118977
38968	430	14.073227167908794
40693	412	13.895034426617107
42495	394	13.996911909015262
44376	378	13.60727854228846
46341	362	13.910915849489992
48393	346	13.598211488333297
50535	331	13.777604047567173
52773	317	13.300930519567737
55109	304	13.520704839977427
57549	291	13.243919913100788
60097	279	13.16439849960604
62757	267	13.237329419777943
65536	256	13.06426227092743
68438	245	12.990021178113842
71468	234	12.854398346471724
74632	224	12.96247719764024
77936	215	12.637758709591175
81386	206	13.014369912623025
84990	197	13.235931548829573
88752	189	12.740969307018526
92682	181	12.652820712563045
96785	173	12.753749162750049
101070	165	12.597071096839574
105545	158	12.60110829204173
110218	152	12.369324584961285
115098	145	12.531369010276695
120194	139	12.501788355827145
125515	133	12.198200316949803
131072	128	11.954008162021637
136875	122	12.031679437083612
142935	117	12.014983500658806
149263	112	11.59436687017451
155872	107	11.960149365307169
162773	103	11.975074168153293
169979	98	11.77888745200337
177505	94	12.054936121068213
185364	90	11.91576885359497
193571	86	12.320347032090744
202141	82	11.68647958965132
211090	79	11.80413939461901
220436	76	11.503753267447951
230195	72	11.373123571561308
240387	69	11.552042982864043
251030	66	11.354351888401602
262144	64	11.38316285610199
273750	61	11.349930024702447
285870	58	11.429536394044552
298527	56	11.637470575765105
311744	53	11.482037087518352
325546	51	11.231294863543273
339959	49	11.515147714991562
355010	47	11.24857861360813
370728	45	11.301088069360228
387141	43	11.09624460482909
404281	41	11.03344232739351
422180	39	11.073869633926957
440872	38	11.658548942717353
460391	36	11.242908382946956
480774	34	11.328751444668024
502060	33	11.35956465423063
524288	32	11.128712356090546
547500	30	11.022476347031963
571740	29	10.971615262785232
597053	28	11.392696472746737
623487	26	10.868053877133455
651091	25	10.90379784085481
679917	24	11.274203934695953
710020	23	11.639275868530339
741455	22	11.212106172078121
774282	21	11.137317755890834
808563	20	15.678148888831174
844361	19	11.588487937218671
881744	19	11.426574224670533
920782	18	11.160021650679049
961548	17	11.024968622899493
1004120	16	10.843235183543799
1048576	16	11.241735696792603
Total Job Time        : 0:01:44.509
END Speed JOB


