START Speed JOB
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_direct=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
JOBNUM=1
JobType=Speed
LgK=12
OutputFileName=HLL20170921_163148PST.txt
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
Sketch=HLL
TimeZone=PST
TimeZoneOffset=-28800000
Trials_UPPO=16
Trials_lgMaxBpU=20
Trials_lgMaxT=23
Trials_lgMaxU=20
Trials_lgMinBpU=1
Trials_lgMinT=4
Trials_lgMinU=0

InU	Trials	nS/u
1	8388608	42.42393898963928
2	8388608	24.844295501708984
3	5592405	19.16002340070193
4	4194304	17.060710966587067
5	3355443	15.86010878443448
6	2796202	15.19551299713735
7	2396745	14.579735849976167
8	2097152	26.362484335899353
9	1864135	23.04489112175922
10	1677721	28.774723449216847
11	1525201	20.730448344490107
12	1398101	31.907398201799698
13	1290555	22.645591535900557
14	1198372	27.513738877168034
15	1118481	21.015516758885497
16	1048576	20.833907186985016
17	986895	21.762904570276564
18	932067	21.2610717183774
19	883011	21.197285972894136
20	838860	20.113005269058323
21	798915	27.858790150816816
22	762600	20.517257051235475
23	729444	20.941671238345137
24	699050	20.656537145649096
25	671088	37.57975615716422
26	645277	29.287690879564384
27	621378	28.532799323082102
28	599186	36.26648438762852
29	578524	27.46855851239915
31	541200	27.97894630808555
32	524288	27.815637171268463
33	508400	37.545857592446
35	479349	26.762107775336144
36	466033	26.781708889475123
38	441505	26.567630216979502
40	419430	34.50956911760959
41	409200	26.533228727086886
43	390167	27.728278427704137
45	372827	26.438816037107415
47	356962	26.214282359395984
49	342392	43.734978549470384
52	322638	33.006349399922804
54	310689	32.13498189150148
56	299593	39.22767447360721
59	284359	32.198479589627574
61	275036	31.62415990133136
64	262144	31.45240420103073
67	250406	30.66473980583904
70	239674	30.071826850518928
73	229824	29.32701497846652
76	220752	28.98857732230198
79	212369	30.601128284532738
83	202135	29.77072098719642
87	192841	29.103576962666015
91	184365	28.96276491658444
95	176602	27.94321528217796
99	169466	35.982932186152084
103	162885	34.280242985178155
108	155344	33.03568782115112
112	149796	33.90643435786906
117	143395	33.15544159146792
123	136400	31.545112652885415
128	131072	31.97981208562851
134	125203	31.958872224343622
140	119837	34.064852376859626
146	114912	30.650845745452514
152	110376	34.79925687029575
159	105517	30.040404649094132
166	101067	30.426065388330322
173	96978	29.99672483968403
181	92691	30.65255776768154
189	88768	29.284846021541796
197	85163	36.67634910444425
206	81442	35.24709209937458
215	78033	34.75558748400704
225	74565	33.93044106186277
235	71392	33.55477793566434
245	68478	32.51844674082695
256	65536	33.04634881019592
267	62836	32.24834877213259
279	60133	32.03966303606499
292	57456	30.07486032194257
304	55188	31.987475168610096
318	52758	30.52453739764885
332	50533	29.751555824548902
347	48349	29.44245737777263
362	46345	30.53181221310982
378	44384	30.260300258351517
395	42473	38.992943305456514
412	40721	37.2453659915934
431	38926	35.50170202179098
450	37282	35.38087405897427
470	35696	33.4310707678083
490	34239	33.28760144029602
512	32768	32.4105087518692
535	31359	32.05026487052413
558	30066	31.390778340219992
583	28777	30.102800138594617
609	27548	29.183586171609825
636	26379	28.432588899450888
664	25266	29.251314924862154
693	24209	28.622565981895175
724	23172	27.817525771721066
756	22192	27.431685246697565
